"","TITULO_PROJETO","","UF_PROPONENTE","SITUACAO_REGISTRO","CNPJ_PROPONENTE","RAZAO_SOCIAL_PROPONENTE","LEI_8313","ART1","ART1A","ART3","ART3A","ART39","FUNCINES","TOTAL_CAPTADO"
"","OTTO","","RJ","DEFERIDO","02.367.665/0001-63","","0","0","619000","0","0","0","0","619000"
"","","","RJ","DEFERIDO","02.367.665/0001-63","","230000","0","0","0","0","0","0","230000"
"","Vida de Menina (ex-Minha Vida de Menina)","","RJ","DEFERIDO","02.376.263/0001-25","RADIANTE FILMES LTDA","1140000","1269542","0","60000","0","0","0","2469542"
"","A Alma da Gente (Ex - O Desafio)","","RJ","DEFERIDO","02.376.263/0001-25","RADIANTE FILMES LTDA","0","0","600000","0","0","0","0","600000"
"","PALAVRA (EN)CANTADA","","RJ","DEFERIDO","02.376.263/0001-25","RADIANTE FILMES LTDA","470000","300000","0","0","0","0","0","770000"
"","","","SP","DEFERIDO","02.395.043/0001-49","","90000","0","0","0","0","0","0","90000"
"","Boca (Ex - Boca do Lixo)","","SP","DEFERIDO","02.395.043/0001-49","","0","2100662","483001,74","0","0","0","0","2583663,74"
"","","","SP","DEFERIDO","02.395.043/0001-49","","0","373221","126607,29","0","0","0","0","499828,29"
"","Soul Brasil","","SP","DEFERIDO","02.395.043/0001-49","","0","843091","579145,39","0","0","0","0","1422236,39"
"","Em Um Mundo Interior","","SP","DEFERIDO","02.395.043/0001-49","","0","763958","212037,94","0","0","0","0","975995,94"
"","Assalto na Paulista","","SP","DEFERIDO","02.395.043/0001-49","","0","2034142","969951,27","0","0","0","0","3004093,27"
"","","","SP","DEFERIDO","02.395.043/0001-49","","0","626502","354084,67","0","0","0","0","980586,67"
"","","","RJ","IRREGULAR","02.403.567/0001-34","","0","0","0","0","0","599972,43","0","599972,43"
"","","","RJ","IRREGULAR","02.403.567/0001-34","","0","0","0","0","0","898490","0","898490"
"","Estilo Brasil","","RJ","IRREGULAR","02.403.567/0001-34","","0","0","0","0","0","341050","0","341050"
"","","","RJ","IRREGULAR","02.403.567/0001-34","","0","127284","0","0","0","0","0","127284"
"","Ensaio (Ex - Amores Raros)","","SC","IRREGULAR","02.438.582/0001-18","ACQUAFREDDA CINE E VIDEO LTDA - ME","0","300000","471000","0","0","0","0","771000"
"","","","SP","DEFERIDO","02.483.996/0001-69","","0","0","475000","0","0","0","0","475000"
"","Vinho de Rosas","","MG","DEFERIDO","02.501.714/0001-09","","316851,98","1210350","0","0","0","0","0","1527201,98"
"","12 Moedas","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","0","0","905178,05","0","905178,05"
"","O Refugiado - Desenvolvimento","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","0","83000","0","0","83000"
"","","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","0","2000000","0","0","2000000"
"","Xingu - Desenvolvimento","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","273000","0","0","0","273000"
"","Vips - Desenvolvimento","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","216831,37","0","0","0","216831,37"
"","","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","750000","0","2783168,63","0","0","0","3533168,63"
"","","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","0","0","8514839,76","0","8514839,76"
"","Sorria - Desenvolvimento (Ex - Ticket de Volta - Desenvolvimento)","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","102854","0","0","0","102854"
"","","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","900000","0","0","0","0","900000"
"","Malasartes","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","604750","2290000","1194255,42","1805744,58","0","0","5894750"
"","A Busca (Ex - A Cadeira do Pai)","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","1500000","0","500000","0","2000000","4000000"
"","","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","382800","578250","0","400000","0","0","1361050"
"","Xingu","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","1500000","2483448,05","0","2727000","0","0","6710448,05"
"","","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","200000","600000","500000","550000","0","0","1850000"
"","Exodus","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","200000","0","121980","0","0","321980"
"","Destino Rio de Janeiro","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","0","0","4981814,3","0","4981814,3"
"","Beleza S/A (Ex - 4ever Young)","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","0","228000","0","0","228000"
"","","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","0","0","4673384,49","0","4673384,49"
"","Zoom","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","300000","0","250000","0","0","550000"
"","A Vaga","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","0","0","2685483,84","0","2685483,84"
"","Trabalho Duro","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","0","0","2071739,47","0","2071739,47"
"","Lili a Ex","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","0","620000","0","0","620000"
"","Destino Salvador","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","0","0","5503653,05","0","5503653,05"
"","O Visitante - Desenvolvimento","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","0","95873,05","0","0","95873,05"
"","O Laranja - Desenvolvimento","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","0","108342,75","0","0","108342,75"
"","Mulheres Alteradas - Desenvolvimento","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","0","155784,2","0","0","155784,2"
"","MARIGHELLA (EX QUEM SAMBA SAMBA) (EX MARIGHELLA)","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","550000","0","3000000","0","0","3550000"
"","O Sentido da Vida","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","0","300000","0","0","300000"
"","","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","0","0","2859430,36","0","2859430,36"
"","Mulheres Alteradas","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","1600000","0","2099999,99","0","0","3699999,99"
"","","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","1812000","0","3000000","0","0","4812000"
"","","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","0","0","2508154,85","0","2508154,85"
"","","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","0","0","384507,81","0","384507,81"
"","Rua Augusta","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","0","0","6266591,4","0","6266591,4"
"","","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","2274806,08","725193,92","0","0","3000000"
"","","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","317939,87","2682060,13","0","0","3000000"
"","","","SP","DEFERIDO","02.525.725/0001-29","O2 CINEMA LTDA","0","0","0","0","0","285000,88","0","285000,88"
"","BRICHOS","","PR","DEFERIDO","02.585.713/0001-90","TECNOKENA AUDIOVISUAL E MULTIMIDIA EIRELI","583199","100000","100000","0","0","0","0","783199"
"","","","PR","DEFERIDO","02.585.713/0001-90","TECNOKENA AUDIOVISUAL E MULTIMIDIA EIRELI","0","700000","695820","0","0","0","0","1395820"
"","","","PR","DEFERIDO","02.585.713/0001-90","TECNOKENA AUDIOVISUAL E MULTIMIDIA EIRELI","0","0","250000","0","0","0","0","250000"
"","O Homem Mau Dorme Bem","","DF","DEFERIDO","02.593.994/0001-22","","0","0","1330000","0","0","0","0","1330000"
"","","","DF","DEFERIDO","02.593.994/0001-22","","803284,3757","352192,1","0","0","0","0","0","1155476,476"
"","#eusoumaria","","RJ","DEFERIDO","02.597.024/0001-03","AUTORIA C PRODUCAO E GESTAO DE CONTEUDO CRIATIVO LTDA - ME","0","0","275000","0","1500000","0","0","1775000"
"","Sai de Baixo, O Filme","","RJ","DEFERIDO","02.605.295/0001-55","","0","0","0","0","3000000","0","0","3000000"
"","Boca de Ouro","","RJ","DEFERIDO","02.605.295/0001-55","","0","0","0","0","3000000","0","0","3000000"
"","Partilha (A)","","RJ","DEFERIDO","02.605.295/0001-55","","0","1000000","0","789365,71","0","0","0","1789365,71"
"","","","RJ","DEFERIDO","02.605.295/0001-55","","730000","3000000","95000","3000000","0","0","0","6825000"
"","Tempos de Paz (Ex - Novas Diretrizes em Tempos de Paz) (Ex - Tempo de Paz)","","RJ","DEFERIDO","02.605.295/0001-55","","0","435000","0","0","0","0","1000000","1435000"
"","Chico Xavier (EX - As Vidas de Chico Xavier)","","RJ","DEFERIDO","02.605.295/0001-55","","0","22000","900000","2217636,62","0","0","0","3139636,62"
"","","","RJ","DEFERIDO","02.605.295/0001-55","","0","2700940","0","3000000","0","0","0","5700940"
"","","","RJ","DEFERIDO","02.605.295/0001-55","","0","2396360","0","2500000","0","0","0","4896360"
"","","","RJ","DEFERIDO","02.605.295/0001-55","","374500","1800000","0","2000000","0","0","0","4174500"
"","","","RJ","DEFERIDO","02.605.295/0001-55","","0","1458000","0","2951989,64","0","0","0","4409989,64"
"","","","RJ","DEFERIDO","02.605.295/0001-55","","0","0","0","0","3000000","0","0","3000000"
"","","","RJ","DEFERIDO","02.605.295/0001-55","","0","0","0","0","200000","0","0","200000"
"","MEDIDA PROVISORIA","","RJ","DEFERIDO","02.605.295/0001-55","","0","0","1400000","0","2800000","0","0","4200000"
"","Escola Darcy Ribeiro","","RJ","DEFERIDO","02.605.336/0001-03","INSTITUTO BRASILEIRO DE AUDIOVISUAL","2267260","0","0","0","0","0","0","2267260"
"","","","ES","DEFERIDO","02.616.581/0001-16","","0","0","949827,59","0","0","0","0","949827,59"
"","","","SP","DEFERIDO","02.625.405/0001-40","MASTER SHOT PRODUCOES EIRELI - ME.","0","270000","0","0","0","0","0","270000"
"","Rosa Morena","","SP","DEFERIDO","02.625.405/0001-40","MASTER SHOT PRODUCOES EIRELI - ME.","0","450000","600000","93297,72","0","0","0","1143297,72"
"","","","SP","DEFERIDO","02.625.405/0001-40","MASTER SHOT PRODUCOES EIRELI - ME.","142000","374990","0","0","0","0","0","516990"
"","JONAS (EX JONAS E A BALEIA)","","SP","DEFERIDO","02.625.405/0001-40","MASTER SHOT PRODUCOES EIRELI - ME.","0","0","1800000","0","3000000","0","0","4800000"
"","Selva - Desenvolvimento","","SP","DEFERIDO","02.625.405/0001-40","MASTER SHOT PRODUCOES EIRELI - ME.","0","0","0","0","282626,9","0","0","282626,9"
"","","","RJ","DEFERIDO","02.630.678/0001-83","FOGO AZUL FILMES LTDA","0","0","0","0","2650000","0","0","2650000"
"","A Mochila do Mascate             Ex Gianni Ratto","","RJ","IRREGULAR","02.660.748/0001-46","TIBET FILME LTDA","599827,87","200000","0","0","0","0","0","799827,87"
"","O SENHOR DO LABIRINTO","","RJ","IRREGULAR","02.660.748/0001-46","TIBET FILME LTDA","0","200000","1209895","0","0","0","0","1409895"
"","Cinema, Aspirina e Urubus (Ex-Cinema, a Aspirina e os Urubus)","","PE","DEFERIDO","02.669.022/0001-74","REC PRODUTORES ASSOCIADOS LTDA","580000","790568","0","56000","0","0","0","1426568"
"","","","PE","DEFERIDO","02.669.022/0001-74","REC PRODUTORES ASSOCIADOS LTDA","180000","590","0","0","0","0","0","180590"
"","Tatuagem","","PE","DEFERIDO","02.669.022/0001-74","REC PRODUTORES ASSOCIADOS LTDA","0","0","1200000","0","0","0","0","1200000"
"","","","PE","DEFERIDO","02.669.022/0001-74","REC PRODUTORES ASSOCIADOS LTDA","0","1101100","800000","0","0","0","0","1901100"
"","Joaquim (Ex- Um Certo Joaquim)","","PE","DEFERIDO","02.669.022/0001-74","REC PRODUTORES ASSOCIADOS LTDA","0","0","0","0","100000","0","0","100000"
"","Duas Mulheres (Ex- Duas Mulheres em Preto e Branco)","","PE","DEFERIDO","02.669.022/0001-74","REC PRODUTORES ASSOCIADOS LTDA","0","0","100000","0","0","0","0","100000"
"","EU QUERO IR","","PE","DEFERIDO","02.669.022/0001-74","REC PRODUTORES ASSOCIADOS LTDA","0","0","0","0","350000","0","0","350000"
"","","","RJ","DEFERIDO","02.670.307/0001-25","","0","0","200000","0","0","0","0","200000"
"","","","RJ","DEFERIDO","02.670.307/0001-25","","60000","0","0","0","0","0","0","60000"
"","","","RJ","DEFERIDO","02.683.477/0001-44","","0","0","1750000","0","0","0","0","1750000"
"","","","RJ","DEFERIDO","02.683.477/0001-44","","0","1150000","0","0","0","0","0","1150000"
"","","","RJ","DEFERIDO","02.683.477/0001-44","","0","0","250000","0","0","358600","0","608600"
"","","","RJ","DEFERIDO","02.683.477/0001-44","","0","0","1424070,9","0","0","0","0","1424070,9"
"","POR UM FIO ","","SC","DEFERIDO","02.736.672/0001-95","BRONZE FILMES PRODUTORA LTDA","0","0","2295000","2999925,25","0","0","0","5294925,25"
"","Uma Fada Veio Me Visitar ","","SC","DEFERIDO","02.736.672/0001-95","BRONZE FILMES PRODUTORA LTDA","0","0","610000","0","0","0","0","610000"
"","","","RJ","DEFERIDO","02.758.386/0001-20","","0","0","599480,55","0","0","0","0","599480,55"
"","O REI DA MUNGANGA","","RJ","DEFERIDO","02.759.786/0001-50","","38500","0","0","0","0","0","0","38500"
"","","","SP","DEFERIDO","02.762.890/0001-02","CINEMA ANIMADORES PRODUCAO AUDIOVISUAL EIRELI","0","0","0","0","0","0","538888,88","538888,88"
"","","","RJ","DEFERIDO","02.787.555/0001-50","MOVIMENTO FILMES LTDA.","0","0","0","0","200000","0","0","200000"
"","","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","0","0","3000000","0","0","0","3000000"
"","MAMONAS ASSASSINAS","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","0","0","0","3000000","0","0","3000000"
"","","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","0","602000","1700000","0","867093,93","0","3169093,93"
"","","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","200000","515000","500000","4514,98","0","0","1219514,98"
"","","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","0","80000","3000000","0","341129,92","0","3421129,92"
"","","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","0","0","1884805,79","1115194,21","0","0","3000000"
"","","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","0","0","1176584,5","1823415,48","0","0","2999999,98"
"","","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","0","300000","1022689,32","1977310,65","0","0","3299999,97"
"","AMOR.COM","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","0","70000","3000000","0","474014,4","0","3544014,4"
"","SEXO COM AMOR     Ex. Sexo Oposto","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","1000000","0","2999034,59","0","0","985000","4984034,59"
"","","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","1298172,32","0","0","3000000","0","0","0","4298172,32"
"","","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","383211","0","0","0","0","1540000","0","1923211"
"","","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","2130000","0","1489761,04","0","0","0","3619761,04"
"","","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","0","0","1398147,75","0","0","0","1398147,75"
"","Avassaladoras  Mulheres em Crise de Amor","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","270000","0","0","0","0","0","0","270000"
"","Um Crime Nobre (Ex: O Filho Predileto)","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","0","0","1664347,28","0","0","0","1664347,28"
"","High School Musical - O Desafio","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","0","402857,5","2459560,45","0","540439,55","0","3402857,5"
"","Assalto ao Banco Central","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","0","6601,12","3000000","0","0","0","3006601,12"
"","","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","2275000","0","3000000","0","0","0","5275000"
"","Guerra dos Rocha","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","0","0","3000000","0","0","985000","3985000"
"","31 MINUTOS","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","1150000","50000","0","0","0","985000","2185000"
"","","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","1075000","1350000","3000000","0","0","0","5425000"
"","Mais uma Noite no Rio ( ex- Uma noite no Rio )","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","0","344226,46","0","0","0","0","344226,46"
"","","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","0","0","0","0","0","4250000","4250000"
"","Media Business School","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","0","0","56314,16","0","0","0","56314,16"
"","","","RJ","DEFERIDO","02.863.008/0001-07","TOTAL ENTERTAINMENT LTDA","0","0","0","0","3000000","0","0","3000000"
"","","","SP","DEFERIDO","02.882.274/0001-87","","0","0","487160","0","0","0","0","487160"
"","Aquanautas","","DF","DEFERIDO","02.899.751/0001-17","","0","0","0","0","0","682498,03","0","682498,03"
"","SEM MAQUIAGEM (EX MV - MORTE VIOLENTA)","","DF","DEFERIDO","02.899.751/0001-17","","0","0","0","0","300000","0","0","300000"
"","Pitanga","","SP","DEFERIDO","02.902.219/0001-01","DRAMA FILMES LTDA.","0","0","500000","0","300000","0","0","800000"
"","","","SP","DEFERIDO","02.902.219/0001-01","DRAMA FILMES LTDA.","0","1448250","1066226,9","0","0","0","0","2514476,9"
"","Sangue Azul","","SP","DEFERIDO","02.902.219/0001-01","DRAMA FILMES LTDA.","0","0","1300000","0","150000","0","0","1450000"
"","Invasor","","SP","DEFERIDO","02.902.219/0001-01","DRAMA FILMES LTDA.","0","330000","0","100000","0","0","0","430000"
"","Crime Delicado (Ex: Uma ou Duas Coisas Sobre Ela)","","SP","DEFERIDO","02.902.219/0001-01","DRAMA FILMES LTDA.","640000","1101100","0","300000","0","0","0","2041100"
"","","","SP","DEFERIDO","02.902.219/0001-01","DRAMA FILMES LTDA.","800000","1100000","200000","400000","0","0","0","2500000"
"","","","SP","DEFERIDO","02.902.219/0001-01","DRAMA FILMES LTDA.","200000","0","0","0","0","0","0","200000"
"","","","PE","DEFERIDO","02.908.530/0001-68","AROMA FILMES LTDA ME.","0","0","0","22302,34","27368,9","0","0","49671,24"
"","Gente de Cavalo","","SP","IRREGULAR","02.913.172/0001-81","A NOVA CDI - CASA DOS INDEPENDENTES LTDA","0","0","0","336255,74","0","0","0","336255,74"
"","A MARGEM DO CONCRETO","","SP","DEFERIDO","02.919.018/0001-17","24 VPS - FILMES LTDA. ME.","364608,9","136000","0","0","0","0","0","500608,9"
"","UM HOMEM DE MORAL","","SP","DEFERIDO","02.919.018/0001-17","24 VPS - FILMES LTDA. ME.","0","295000","0","0","0","0","0","295000"
"","Em nome Desta Terra","","SP","DEFERIDO","02.919.018/0001-17","24 VPS - FILMES LTDA. ME.","0","0","875000","0","0","0","0","875000"
"","","","SP","DEFERIDO","02.920.962/0001-94","BRAS FILMES LTDA","0","0","600000","0","0","0","0","600000"
"","","","SP","DEFERIDO","02.920.962/0001-94","BRAS FILMES LTDA","0","0","600000","0","0","0","0","600000"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","195752,6","0","137747,4","0","333500"
"","+ FILME          (EX - SALA DE CINEMA II)","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","852439,56","0","852439,56"
"","EUROPA PAULISTANA ","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","107500","0","107500"
"","","","SP","DEFERIDO","02.947.857/0001-49","","742756,26","100000","0","0","0","0","0","842756,26"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","219545,89","0","219545,89"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","105236,25","0","0","0","105236,25"
"","Escola Pra Cachorro","","SP","DEFERIDO","02.947.857/0001-49","","0","0","1898878","0","0","139292,47","0","2038170,47"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","110000","0","0","276765,85","0","386765,85"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","1750000","1879349","0","0","0","600000","4229349"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","1442108,35","0","0","200000","0","1642108,35"
"","Atualidades","","SP","DEFERIDO","02.947.857/0001-49","","0","0","210000","0","0","1362890","0","1572890"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","170553,1","0","3000000","0","0","3170553,1"
"","Julie e os Fantasmas","","SP","DEFERIDO","02.947.857/0001-49","","0","0","1160000","0","0","0","0","1160000"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","300000","0","300000"
"","Quatro brasileiros","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","862000","0","862000"
"","Cidade secreta","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","299136,3","0","299136,3"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","443375,01","0","443375,01"
"","ATUALIDADES SEGUNDA TEMPORADA","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","2108812,29","0","2108812,29"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","2999728,18","0","0","2999728,18"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","2034764,44","0","2034764,44"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","2624316,38","0","2624316,38"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","1820332,17","0","1820332,17"
"","Anjos da Estrada","","SP","DEFERIDO","02.947.857/0001-49","","0","0","500000","0","0","1668141,74","0","2168141,74"
"","A Garota da Moto","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","2573984,12","0","2573984,12"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","2755908,2","0","2755908,2"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","2958586,65","0","2958586,65"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","200000","0","0","442936","0","642936"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","20000","0","0","1312934,36","0","1332934,36"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","23501,34","0","3000000","0","0","3023501,34"
"","DESAFIO CELEBRIDADES (Ex-CELEBRITY SURVIVAL)","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","5385954,08","0","5385954,08"
"","RIO HEROES","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","559271,22","436711,69","250000","0","1245982,91"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","1549200","0","1549200"
"","Garagem Hot Rod (Ex-Hot Company)","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","2741515,7","0","2741515,7"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","2317015,8","0","0","2317015,8"
""," GAROTA DA MOTO (EX A GAROTA DA MOTO)","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","1565442,3","1434557,7","0","0","3000000"
"","LABORATORIO DA LUTA - SEGUNDA TEMPORADA","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","3000000","0","0","3000000"
"","DO JIU JITSU AO MMA - SEGUNDA TEMPORADA","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","2999850,14","0","0","2999850,14"
"","LABORATORIO DA LUTA - TERCEIRA TEMPORADA","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","3000000","0","0","3000000"
"","RIO HEROES - SEGUNDA TEMPORADA","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","1760374,32","1239625,66","617306,56","0","3617306,54"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","3000000","0","0","3000000"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","1923804,2","0","1923804,2"
"","DRAFT","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","1561612,55","0","0","1561612,55"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","2026555,19","0","2026555,19"
"","CRISE","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","1647949,33","0","0","1647949,33"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","2560000","0","2560000"
"","","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","0","3114897,45","0","3114897,45"
"","JOVENS GUERREIROS ( EX MMA SOCIAL)","","SP","DEFERIDO","02.947.857/0001-49","","0","0","0","0","1460569,41","0","0","1460569,41"
"","","","RJ","DEFERIDO","03.011.536/0001-09","","750000","215060","0","0","0","0","0","965060"
"","ANJOS DO SOL","","RJ","DEFERIDO","03.011.536/0001-09","","150000","0","0","0","0","0","0","150000"
"","Rio Ink","","RJ","DEFERIDO","03.011.536/0001-09","","0","0","0","0","0","202381,61","0","202381,61"
"","Pagando Caro","","SP","DEFERIDO","03.039.811/0001-94","CASA JABUTICABA DE CINEMA E TEATRO LTDA","0","60200","650000","0","0","0","0","710200"
"","","","MG","IRREGULAR","03.041.821/0001-64","","0","185320","0","0","0","0","0","185320"
"","SMART CITIES - AS CIDADES DO FUTURO","","SP","DEFERIDO","03.043.912/0001-39","","0","0","1834720,9","0","0","0","0","1834720,9"
"","","","SP","IRREGULAR","03.074.644/0001-12","OESTE FILMES BRASILEIROS LTDA-BAIXADO","150000","1059888","0","0","0","0","0","1209888"
"","","","SP","IRREGULAR","03.074.644/0001-12","OESTE FILMES BRASILEIROS LTDA-BAIXADO","110000","140000","0","0","0","0","0","250000"
"","","","RJ","DEFERIDO","03.086.324/0001-82","PEDRO SUTTER OZORIO ROSA","0","189578","0","0","0","0","0","189578"
"","400CONTRA1 (EX - SENHORA LIBERDADE)  (EX - QUATROCENTOS CONTRA UM)","","SP","IRREGULAR","03.087.646/0001-46","","0","700000","10000","1411207,97","0","0","0","2121207,97"
"","","","DF","DEFERIDO","03.093.490/0001-06","MERCADO CULTURAL LTDA EPP","0","570000","1540000","0","60000","0","0","2170000"
"","","","SP","DEFERIDO","03.117.764/0001-50","","0","0","450000","0","0","0","0","450000"
"","","","SP","DEFERIDO","03.135.762/0001-93","","0","0","250000","0","0","0","0","250000"
