"","TITULO_PROJETO","","UF_PROPONENTE","SITUACAO_REGISTRO","CNPJ_PROPONENTE","RAZAO_SOCIAL_PROPONENTE","LEI_8313","ART1","ART1A","ART3","ART3A","ART39","FUNCINES","TOTAL_CAPTADO"
"","","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","0","1578900","224600","3000000","0","0","0","4803500"
"","Uma Professora Muito Maluquinha","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","0","3000000","999237,33","0","0","0","0","3999237,33"
"","Guerreiros da Tempestade","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","0","2850182","657397,21","0","0","0","0","3507579,21"
"","","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","0","619950","0","3000000","0","0","0","3619950"
"","","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","150000","1099731","0","1800000","0","0","0","3049731"
"","","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","10500","1314450","0","2499997","0","0","0","3824947"
"","Xuxa e o tesouro da cidade perdida(Ex : Os Baixinhos)","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","0","360567","0","2999999,8","0","0","0","3360566,8"
"","Duendes 2","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","2250","2522000","0","3000000","0","0","0","5524250"
"","Xuxa e os Duendes","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","0","700000","0","2999999,98","0","0","0","3699999,98"
"","Fica Comigo Esta Noite","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","0","1009050","0","3000000","0","0","0","4009050"
"","Zico o filme","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","961750","334750","0","0","0","0","0","1296500"
"","","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","0","1475535","0","1800000","0","0","0","3275535"
"","Xuxa Pop Star (Ex Xuxa Kid)","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","90000","212354","0","1600000","0","0","0","1902354"
"","Dom","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","200000","1730523","0","1000000","0","0","0","2930523"
"","","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","1000000","0","509217","0","0","0","0","1509217"
"","","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","0","430000","0","2850000","0","0","0","3280000"
"","","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","75000","2199400","160750","2853924,56","0","146075,44","0","5435150"
"","O CAVALEIRO DIDI E A PRINCESA LILI   (EX - DIDI E A PRINCESA LILI)","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","0","839500","0","3088112,63","0","70482,14","0","3998094,77"
"","","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","31250","2108544","391219,5","3000000","0","0","0","5531013,5"
"","COISA DE MULHER ","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","110000","721000","0","2000000","0","0","0","2831000"
"","","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","55000","46106","0","2914458,62","0","85541,28","0","3101105,9"
"","","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","100000","1258962","0","2804247,4","0","195752,6","0","4358962"
"","","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","0","1003750","0","2380000","0","120000","0","3503750"
"","","","RJ","IRREGULAR","00.291.470/0001-51","DILER & ASSOCIADOS LTDA","250000","1744449","0","3000000","0","0","0","4994449"
"","O Carteiro (Ou Para que me escutes)","","RS","DEFERIDO","00.325.903/0001-42","TURNING POINT PRODUCOES EIRELI","0","428700","50000","0","0","0","0","478700"
"","","","RJ","DEFERIDO","00.338.948/0001-51","E.H. FILMES LTDA","0","0","0","0","2300000","0","0","2300000"
"","Margaret Mee e a Flor da Lua","","RJ","DEFERIDO","00.338.948/0001-51","E.H. FILMES LTDA","0","864800","0","0","0","0","0","864800"
"","COMO ESQUECER","","RJ","DEFERIDO","00.338.948/0001-51","E.H. FILMES LTDA","0","720000","250000","527480,6","0","0","0","1497480,6"
"","","","RJ","DEFERIDO","00.338.948/0001-51","E.H. FILMES LTDA","0","0","0","0","0","0","0","0"
"","Mulheres do Brasil","","RJ","DEFERIDO","00.338.948/0001-51","E.H. FILMES LTDA","0","1012304","0","700000","0","0","0","1712304"
"","","","RJ","DEFERIDO","00.338.948/0001-51","E.H. FILMES LTDA","0","0","0","0","26000","0","0","26000"
"","","","RJ","DEFERIDO","00.338.948/0001-51","E.H. FILMES LTDA","0","0","0","0","3000000","0","0","3000000"
"","Luna Clara - Desenvolvimento","","RJ","DEFERIDO","00.338.948/0001-51","E.H. FILMES LTDA","0","0","0","0","150000","0","0","150000"
